"source","target","volume","year","source_part_of","kind"
"L00225","L00228","S048",1950,"","same_text"
"L00225","L00233","S048",1950,"","same_text"
"L00225","L00229","S048",1950,"","same_text"
"L00225","L00230","S048",1950,"","same_text"
"L00225","L00231","S048",1950,"","same_text"
"L00226","L00232","S048",1950,"","same_text"
"L00226","L00227","S048",1950,"","same_text"
"L00226","L00228","S048",1950,"","same_text"
"L00226","L00233","S048",1950,"","same_text"
"L00226","L00229","S048",1950,"","same_text"
"L00226","L00230","S048",1950,"","same_text"
"L00226","L00231","S048",1950,"","same_text"
"L00232","L00227","S048",1950,"","same_text"
"L00232","L00228","S048",1950,"","same_text"
"L00232","L00233","S048",1950,"","same_text"
"L00232","L00229","S048",1950,"","same_text"
"L00232","L00230","S048",1950,"","same_text"
"L00232","L00231","S048",1950,"","same_text"
"L00227","L00228","S048",1950,"","same_text"
"L00227","L00233","S048",1950,"","same_text"
"L00227","L00229","S048",1950,"","same_text"
"L00227","L00230","S048",1950,"","same_text"
"L00227","L00231","S048",1950,"","same_text"
"L00228","L00233","S048",1950,"","same_text"
"L00228","L00229","S048",1950,"","same_text"
"L00228","L00230","S048",1950,"","same_text"
"L00228","L00231","S048",1950,"","same_text"
"L00233","L00229","S048",1950,"","same_text"
"L00233","L00230","S048",1950,"","same_text"
"L00233","L00231","S048",1950,"","same_text"
"L00229","L00230","S048",1950,"","same_text"
"L00229","L00231","S048",1950,"","same_text"
"L00230","L00231","S048",1950,"","same_text"
"L00234","L00235","S049",1951,"","same_text"
"L00234","L00236","S049",1951,"","same_text"
"L00234","L00237","S049",1951,"","same_text"
"L00234","L00238","S049",1951,"","same_text"
"L00234","L00239","S049",1951,"","same_text"
"L00234","L00240","S049",1951,"","same_text"
"L00234","L00241","S049",1951,"","same_text"
"L00234","L00242","S049",1951,"","same_text"
"L00234","L00243","S049",1951,"","same_text"
"L00234","L00244","S049",1951,"","same_text"
"L00234","L00245","S049",1951,"","same_text"
"L00234","L00246","S049",1951,"","same_text"
"L00235","L00236","S049",1951,"","same_text"
"L00235","L00237","S049",1951,"","same_text"
"L00235","L00238","S049",1951,"","same_text"
"L00235","L00239","S049",1951,"","same_text"
"L00235","L00240","S049",1951,"","same_text"
"L00235","L00241","S049",1951,"","same_text"
"L00235","L00242","S049",1951,"","same_text"
"L00235","L00243","S049",1951,"","same_text"
"L00235","L00244","S049",1951,"","same_text"
"L00235","L00245","S049",1951,"","same_text"
"L00235","L00246","S049",1951,"","same_text"
"L00236","L00237","S049",1951,"","same_text"
"L00236","L00238","S049",1951,"","same_text"
"L00236","L00239","S049",1951,"","same_text"
"L00236","L00240","S049",1951,"","same_text"
"L00236","L00241","S049",1951,"","same_text"
"L00236","L00242","S049",1951,"","same_text"
"L00236","L00243","S049",1951,"","same_text"
"L00236","L00244","S049",1951,"","same_text"
"L00236","L00245","S049",1951,"","same_text"
"L00236","L00246","S049",1951,"","same_text"
"L00237","L00238","S049",1951,"","same_text"
"L00237","L00239","S049",1951,"","same_text"
"L00237","L00240","S049",1951,"","same_text"
"L00237","L00241","S049",1951,"","same_text"
"L00237","L00242","S049",1951,"","same_text"
"L00237","L00243","S049",1951,"","same_text"
"L00237","L00244","S049",1951,"","same_text"
"L00237","L00245","S049",1951,"","same_text"
"L00237","L00246","S049",1951,"","same_text"
"L00238","L00239","S049",1951,"","same_text"
"L00238","L00240","S049",1951,"","same_text"
"L00238","L00241","S049",1951,"","same_text"
"L00238","L00242","S049",1951,"","same_text"
"L00238","L00243","S049",1951,"","same_text"
"L00238","L00244","S049",1951,"","same_text"
"L00238","L00245","S049",1951,"","same_text"
"L00238","L00246","S049",1951,"","same_text"
"L00239","L00240","S049",1951,"","same_text"
"L00239","L00241","S049",1951,"","same_text"
"L00239","L00242","S049",1951,"","same_text"
"L00239","L00243","S049",1951,"","same_text"
"L00239","L00244","S049",1951,"","same_text"
"L00239","L00245","S049",1951,"","same_text"
"L00239","L00246","S049",1951,"","same_text"
