name,occurrences,essays
"Borzage Frank","1","Fascismo psicanalizzato, Ferderzoni beneducato, Valenti oleografico;"
"Bosch Hieronymus","1","La «Biblioteca romantica» Mondadori;"
"Bosco Umberto","1","Il dialetto;"
"Bosis Lauro de","1","La «Biblioteca romantica» Mondadori;"
"Bottéro Jean","2","Prima dell'alfabeto;Carlo Ginzburg, «Spie: radici di un paradigma indiziario»;"
"Botticelli Sandro","2","Tra i pioppi della risaia la «cinecittà» delle mondine;Togliatti e De Gasperi;"
"Boullée Etienne-Louis","1","Per Fourier: II. L'ordinatore dei desideri;"
"Bourguiba (Bu Rqiba al-Habib)","1","Cartoline dall'America;"
"Bovero Clara","1","«Le fiabe del focolare» di Jacob e Wilhelm Grimm;"
"Bradbury Ray","1","Un deserto in più;"
"Bragaglia Anton Giulio","1","Un progetto di rivista;"
"Brahms Johannes","1","Marianne Moore;"
"Brancati Vitaliano","3","La letteratura italiana sulla Resistenza;Letteratura e potere (su un saggio di Alberto Asor Rosa);La paura di sbagliare;"
"Brando Marlon","1","Luigi Davì, l'operaio che scrive racconti;"
"Brass Tinto","1","Venezia: archetipo e utopia della città acquatica;"
"Braun Harald","1","Gli amori difficili dei romanzi coi film;"
"Bravo Gian Luigi","1","La tradizione popolare nelle fiabe;"
"Brecht Bertolt","16","Natura e storia nel romanzo;La sfida al labirinto;Filosofia e letteratura;Due interviste su scienza e letteratura;Per Fourier: II. L'ordinatore dei desideri;I livelli della realtà in letteratura;Denis Diderot, «Jacques le fataliste»;Lettera a Pratolini sul «Metello»;Brecht;Le sorti del romanzo;Questioni sul realismo;La «Einaudi Biblioteca Giovani»;Sciolti dal «giuramento»;Ricordo di Franco Antonicelli;"
"Brentano Bettina","1","«Le fiabe del focolare» di Jacob e Wilhelm Grimm;"
"Brentano Clemens","1","«Le fiabe del focolare» di Jacob e Wilhelm Grimm;"
"Breton André","17","L'antitesi operaia;Vittorini: progettazione e letteratura;Filosofia e letteratura;Per Fourier: I. La società amorosa;Per Fourier: II. L'ordinatore dei desideri;Cecchi in Messico;«Biffures» di Michel Leiris;Omaggio a Octavio Paz;La filosofia di Raymond Queneau;Perché scrivete?;Luis Buñuel;"
"Brežnev Leonid Il'ič","1","«Turbare l'universo» di Freeman Dyson;"
"Bridges Harry","1","Cartoline dall'America;"
"Brillat Savarin Anthelme","2","Per Fourier: I. La società amorosa;Per Fourier: II. L'ordinatore dei desideri;"
"Brilli Attilio","3","Washington Irving;I cinque tavoli di Stevenson;"
"Brisbane Albert","1","Per Fourier: II. L'ordinatore dei desideri;"
"Bronzino (Agnolo Allori)","1","La squadratura (per Giulio Paolini);"
"Brown Norman Oliver","1","Per Fourier: II. L'ordinatore dei desideri;"
"Browne H.K. (detto Phiz)","1","II romanzo come spettacolo;"
"Bruegel Peter il Vecchio","2","«Le fiabe del focolare» di Jacob e Wilhelm Grimm;Castelli di delizie e castelli del terrore;"
"Bruno Giordano","8","1. Leggerezza;3. Esattezza;4. Visibilità;Cyrano sulla Luna;Omaggio a Octavio Paz;«Fato antico e fato moderno» di Giorgio de Santillana;"
"Bruto Marco Giunio","1","Le cose mai uscite da quella prigione;"
"Budda","3","1. Leggerezza;ll tempio di legno;Grassi e magri;"
"Buffon George Louis Ledere- conte di","1","Perché leggere i classici;"
"Buget A.M.","1","La tradizione popolare nelle fiabe;"
"Bukowskij Vladimir","1","Il paese non può attendere;"
"Buñuel Luis","6","Gli amori difficili dei romanzi coi film;Luis Buñuel;"
"Bunyan John","1","L'arcipelago dei luoghi immaginari;"
"Buonarroti Michelangelo","11","La penna in prima persona (Per i disegni di Saul Steinberg);Le effimere nella fortezza;La città scritta: epigrafi e graffiti;4. Visibilità;Film e romanzo;Palomar e Michelangelo;Taccuino di viaggio nell'Unione Sovietica 1952;Album di francobolli;"
"Burke Peter","1","Il patrimonio dei draghi;"
"Burland Cottie Arthur","3","Montezuma e Cortés;Il midollo del leone;"
"Burri Alberto","1","La sfida al labirinto;"
"Burroughs Edgar Rice","2","L'arcipelago dei luoghi immaginari;Le capre ci guardano, Soggezione di un cane, Il marxismo spiegato ai gatti, Da Esopo a Disney;"
"Burton Robert","1","Notizia su Giorgio Manganelli;"
"Burzio Filippo","4","Umanesimo e marxismo;"
"Butor Michel","14","Natura e storia nel romanzo;Il mare dell'oggettività;La sfida al labirinto;Vittorini: progettazione e letteratura;Filosofia e letteratura;Per Fourier: II. L'ordinatore dei desideri;Perec, «La vita istruzioni per l'uso»;Risposte a 9 domande sul romanzo;Perché leggere i classici;Pavese, Carlo Levi, Robbe-Grillet, Butor, Vittorini...;"
"Buttitta Antonino","1","Luigi Malerba, «Le parole abbandonate»;"
"Buzzati Dino","9","Tre correnti del romanzo italiano d'oggi;L'arcipelago dei luoghi immaginari;Dino Buzzati;Primo Levi, «La ricerca delle radici»;Il fantastico nella letteratura italiana;Un'antologia di racconti «neri»;"
"Byron George Gordon","2","L' «Isola del tesoro» ha il suo segreto;Una mostra di William Turner;"
"Cabet Étienne","3","Per Fourier: II. L'ordinatore dei desideri;Per Fourier: III. Commiato. Utopia pulviscolare;L'arcipelago dei luoghi immaginari;"
"Cacama","1","Montezuma e Cortés;"
"Cain James Mallahan","1","Gli amori difficili dei romanzi coi film;"
