id	label	type
"essay-292"	"Per Arakawa"	"essay"
"person-84"	"Aymonino Carlo"	"person"
"essay-30"	"Per Fourier: 2. L'ordinatore dei desideri"	"essay"
"person-85"	"Babel' Isaak Emmanuilovic"	"person"
"essay-2"	"Natura e storia nel romanzo"	"essay"
"essay-149"	"Primo Levi, La ricerca delle radici"	"essay"
"person-86"	"Babic"	"person"
"essay-309"	"Un leader comunista: Vittorio Vidali"	"essay"
"person-87"	"Bacchelli Riccardo"	"person"
"essay-241"	"La «Biblioteca romantica» Mondadori"	"essay"
"person-88"	"Bachelard Gaston"	"person"
"essay-202"	"Junichiro Tanizaki, Libro d'ombra"	"essay"
"person-89"	"Bachtin Michail Michailovic"	"person"
"essay-23"	"La letteratura come proiezione del desiderio (Per l'Anatomia della critica di Northrop Frye)"	"essay"
"essay-25"	"Il mondo alla rovescia"	"essay"
"essay-102"	"Denis Diderot, Jacques le fataliste"	"essay"
"essay-175"	"Viaggio, dialogo, utopia"	"essay"
"essay-178"	"Bachtin"	"essay"
"person-90"	"Bacon Francis (Francesco Bacone)"	"person"
"essay-64"	"L'arcipelago dei luoghi immaginari"	"essay"
"essay-104"	"Il libro della natura in Galileo"	"essay"
"essay-138"	"mondo è un carciofo (per Carlo Emilio Gadda)"	"essay"
"essay-260"	"Il libro, i libri"	"essay"
"person-91"	"Baglio Gino"	"person"
"essay-212"	"La letteratura italiana sulla Resistenza"	"essay"
"person-92"	"Baker Carlos"	"person"
"essay-184"	"Hemingway e noi"	"essay"
"person-93"	"Balbo Cesare"	"person"
"essay-394"	"Ricordo di Felice Balbo"	"essay"
"person-94"	"Balbo Felice"	"person"
"essay-207"	"Marxismo e cattolicesimo"	"essay"
"essay-394"	"Ricordo di Felice Balbo"	"essay"
"person-95"	"Baldissera Antonio"	"person"
"essay-247"	"La prima guerra d'Africa vista dai nostri padri e vista dagli abissini"	"essay"
"person-96"	"Balla Giacomo"	"person"
"essay-388"	"Album di francobolli"	"essay"
"person-97"	"Ballerini Carlo"	"person"
"essay-34"	"I Promessi Sposi: il romanzo dei rapporti di forza"	"essay"
"person-98"	"Baltard Victor"	"person"
"essay-151"	"Giovanni Macchia, Le rovine di Parigi"	"essay"
"person-99"	"Balzac HonoreÃÅ de"	"person"
"essay-2"	"Natura e storia nel romanzo"	"essay"
"essay-9"	"La sfida al labirinto"	"essay"
"essay-28"	"II romanzo come spettacolo"	"essay"
"essay-35"	"Un progetto di pubblico"	"essay"
"essay-50"	"Le meraviglie della cronaca nera"	"essay"
"essay-53"	"Scrittori che disegnano"	"essay"
"essay-59"	"La città pensata: la misura degli spazi"	"essay"
"essay-85"	"4. Visibilità"	"essay"
"essay-86"	"5. Molteplicità"	"essay"
"essay-90"	"La città-romanzo in Balzac"	"essay"
"essay-91"	"Honoré de Balzac, I piccoli borghesi"	"essay"
"essay-97"	"I capitani di Conrad"	"essay"
"essay-103"	"Gustave Flaubert, Trois contes"	"essay"
"essay-117"	"Guida alla Chartreuse a uso dei nuovi lettori"	"essay"
"essay-118"	"L'isola del tesoro ha il suo segreto"	"essay"
"essay-123"	"Mark Twain, L'uomo che corruppe Hadleyburg"	"essay"
"essay-140"	"II Pasticciaccio"	"essay"
"essay-142"	"Natalia Ginzburg o le possibilità del romanzo borghese"	"essay"
"essay-151"	"Giovanni Macchia, Le rovine di Parigi"	"essay"
"essay-156"	"Ricordo di Lucio Mastronardi"	"essay"
"essay-158"	"Silvio Micheli, Un figlio ella disse"	"essay"
"essay-172"	"Rancore di Stefano Terra"	"essay"
"essay-192"	"Pasternak e la rivoluzione"	"essay"
"essay-194"	"Ricordo di Georges Perec"	"essay"
"essay-195"	"Perec, La vita istruzioni per l'uso"	"essay"
"essay-209"	"Ingegneri e demolitori"	"essay"
"essay-210"	"Saremo come Omero!"	"essay"
"essay-217"	"Risposte a 9 domande sul romanzo"	"essay"
"essay-218"	"Film e romanzo"	"essay"
"essay-224"	"I racconti di Mamma l'Oca di Charles Perrault"	"essay"
"essay-231"	"Racconti fantastici dell'Ottocento"	"essay"
"essay-256"	"Perché leggere i classici"	"essay"
"essay-329"	"La città di domani"	"essay"
"essay-362"	"Taccuino di viaggio nell'Unione Sovietica"	"essay"
"essay-372"	"Palomar nel Massachusetts"	"essay"
"essay-378"	"Colloquio con Ferdinando Camon"	"essay"
"person-100"	"Bandella Matteo"	"person"
"essay-233"	"11 fantastico nella letteratura italiana"	"essay"
"person-101"	"Bandini Luigi"	"person"
"essay-206"	"Umanesimo e marxismo"	"essay"
"person-102"	"Bandinu Bachisio"	"person"
"essay-152"	"Luigi Malerba, Le parole abbandonate"	"essay"
"person-103"	"Banfi Antonio"	"person"
"essay-381"	"Togliatti e De Gasperi"	"essay"
"person-104"	"Banti Anna"	"person"
"essay-1"	"Il midollo del leone"	"essay"
"person-105"	"Barachini Danilo"	"person"
"essay-208"	"Abbiamo vinto ín molti"	"essay"
"person-106"	"Baratieri Oreste"	"person"
"essay-247"	"La prima guerra d'Africa vista dai nostri padri e vista dagli abissini"	"essay"
"person-107"	"Barbato Antonio"	"person"
"essay-186"	"L'insostenibile leggerezza dell'essere di Milan Kundera"	"essay"
"person-108"	"Barbey d'Aurevilly Jules¬≠ AmeÃÅdeÃÅe"	"person"
"essay-53"	"Scrittori che disegnano"	"essay"
"essay-63"	"La geografia delle fate"	"essay"
"essay-83"	"2. Rapidità"	"essay"
"essay-144"	"L'esattezza e il caso (per Tommaso Landolfi)"	"essay"
"person-109"	"Barbiellini Amidei Gaspare"	"person"
"essay-152"	"Luigi Malerba, Le parole abbandonate"	"essay"
"person-110"	"Barca Luciano"	"person"
"essay-389"	"L'estate del '56"	"essay"
"person-111"	"Bargellini Piero"	"person"
